rating_bin,n,MAE_rf,MAE_ridge
1.0-2.0,16,2.370890201992965,2.4562939344897523
2.0-3.0,44,1.3075233900558232,1.4235641208811252
3.0-3.5,78,0.8238090733185726,0.8087331766758131
3.5-4.0,256,0.3262615039342197,0.325300147400273
4.0-4.5,743,0.1686396711872357,0.16836772393603608
4.5-5.0,503,0.3697227151372869,0.38151145871113434
