alpha,mean_cv_r2,std_cv_r2,rank
0.001,0.14694121599241897,0.014089199603080606,9
0.0031622776601683794,0.1469417954717068,0.014088996708872528,8
0.01,0.1469434733048123,0.014087743454153619,7
0.03162277660168379,0.14694889159971006,0.014084124131234067,6
0.1,0.14696545928230906,0.014072394222292317,5
0.31622776601683794,0.14701519234556676,0.014037347569725234,4
1.0,0.14713966540035833,0.013925984141657731,3
3.1622776601683795,0.14737610200018308,0.01361834035985131,2
10.0,0.14747458743444397,0.01285520998631649,1
31.622776601683793,0.1455342999420598,0.011244665243860863,10
100.0,0.13514843509744706,0.008528550275184621,11
316.2277660168379,0.10747650175362815,0.0056086914942703224,12
1000.0,0.07228566550194437,0.004710443798134665,13
