model,cv_r2_mean,cv_r2_std,cv_mae_mean,cv_rmse_mean
Dummy (baseline),-0.0004023505390336357,0.00045900780060935024,0.38074962008599167,0.5336351684460254
Ridge (tuned),0.14747458743444397,0.01285520998631649,0.34068669204574725,0.4926263966401595
RandomForest (tuned),0.15330397767859927,0.02631590751371495,0.3383327311188549,0.49099135211822187
